Member_number,Date,itemDescription,year,month,day,day_of_week
3612,16/02/2014,seasonal products,2014,2,16,6
3662,16/02/2014,white wine,2014,2,16,6
3662,16/02/2014,bottled water,2014,2,16,6
3736,16/02/2014,semi-finished bread,2014,2,16,6
3736,16/02/2014,liquor (appetizer),2014,2,16,6
3748,16/02/2014,hamburger meat,2014,2,16,6
3748,16/02/2014,pastry,2014,2,16,6
3748,16/02/2014,brown bread,2014,2,16,6
3769,16/02/2014,pickled vegetables,2014,2,16,6
3769,16/02/2014,hygiene articles,2014,2,16,6
4098,16/02/2014,other vegetables,2014,2,16,6
4098,16/02/2014,yogurt,2014,2,16,6
4098,16/02/2014,bottled water,2014,2,16,6
4162,16/02/2014,curd cheese,2014,2,16,6
4162,16/02/2014,red/blush wine,2014,2,16,6
4162,16/02/2014,margarine,2014,2,16,6
4163,16/02/2014,other vegetables,2014,2,16,6
4163,16/02/2014,newspapers,2014,2,16,6
4172,16/02/2014,Instant food products,2014,2,16,6
4172,16/02/2014,whipped/sour cream,2014,2,16,6
4202,16/02/2014,female sanitary products,2014,2,16,6
4202,16/02/2014,other vegetables,2014,2,16,6
4433,16/02/2014,whole milk,2014,2,16,6
4433,16/02/2014,grapes,2014,2,16,6
4935,16/02/2014,bottled beer,2014,2,16,6
4935,16/02/2014,cat food,2014,2,16,6
4935,16/02/2014,newspapers,2014,2,16,6
4939,16/02/2014,fruit/vegetable juice,2014,2,16,6
4939,16/02/2014,bottled beer,2014,2,16,6
1166,17/02/2014,root vegetables,2014,2,17,0
1166,17/02/2014,brown bread,2014,2,17,0
1581,17/02/2014,newspapers,2014,2,17,0
1581,17/02/2014,napkins,2014,2,17,0
1684,17/02/2014,white wine,2014,2,17,0
1684,17/02/2014,curd,2014,2,17,0
1865,17/02/2014,onions,2014,2,17,0
1865,17/02/2014,oil,2014,2,17,0
1900,17/02/2014,pip fruit,2014,2,17,0
1900,17/02/2014,bottled beer,2014,2,17,0
1903,17/02/2014,sweet spreads,2014,2,17,0
1903,17/02/2014,margarine,2014,2,17,0
2059,17/02/2014,tropical fruit,2014,2,17,0
2059,17/02/2014,long life bakery product,2014,2,17,0
2241,17/02/2014,root vegetables,2014,2,17,0
2241,17/02/2014,frozen vegetables,2014,2,17,0
2241,17/02/2014,rolls/buns,2014,2,17,0
2316,17/02/2014,bottled beer,2014,2,17,0
2316,17/02/2014,pip fruit,2014,2,17,0
2460,17/02/2014,bottled water,2014,2,17,0
2460,17/02/2014,soda,2014,2,17,0
2697,17/02/2014,berries,2014,2,17,0
2697,17/02/2014,dishes,2014,2,17,0
2788,17/02/2014,dessert,2014,2,17,0
2788,17/02/2014,domestic eggs,2014,2,17,0
2813,17/02/2014,tropical fruit,2014,2,17,0
2813,17/02/2014,cake bar,2014,2,17,0
2813,17/02/2014,chocolate,2014,2,17,0
3895,17/02/2014,other vegetables,2014,2,17,0
3895,17/02/2014,dessert,2014,2,17,0
3895,17/02/2014,other vegetables,2014,2,17,0
3895,17/02/2014,fruit/vegetable juice,2014,2,17,0
3910,17/02/2014,pet care,2014,2,17,0
3910,17/02/2014,soda,2014,2,17,0
3920,17/02/2014,soda,2014,2,17,0
3920,17/02/2014,whole milk,2014,2,17,0
3920,17/02/2014,brandy,2014,2,17,0
4015,17/02/2014,canned beer,2014,2,17,0
4015,17/02/2014,bottled beer,2014,2,17,0
4133,17/02/2014,root vegetables,2014,2,17,0
4133,17/02/2014,pastry,2014,2,17,0
4192,17/02/2014,root vegetables,2014,2,17,0
4192,17/02/2014,canned beer,2014,2,17,0
4192,17/02/2014,whole milk,2014,2,17,0
4192,17/02/2014,oil,2014,2,17,0
4320,17/02/2014,whole milk,2014,2,17,0
4320,17/02/2014,rolls/buns,2014,2,17,0
4414,17/02/2014,rolls/buns,2014,2,17,0
4414,17/02/2014,beef,2014,2,17,0
4430,17/02/2014,rolls/buns,2014,2,17,0
4430,17/02/2014,pip fruit,2014,2,17,0
4430,17/02/2014,margarine,2014,2,17,0
4710,17/02/2014,other vegetables,2014,2,17,0
4710,17/02/2014,salty snack,2014,2,17,0
4710,17/02/2014,pickled vegetables,2014,2,17,0
4770,17/02/2014,chicken,2014,2,17,0
4770,17/02/2014,roll products ,2014,2,17,0
4788,17/02/2014,other vegetables,2014,2,17,0
4788,17/02/2014,whipped/sour cream,2014,2,17,0
1134,18/02/2014,cream cheese ,2014,2,18,1
1134,18/02/2014,newspapers,2014,2,18,1
1290,18/02/2014,rice,2014,2,18,1
1290,18/02/2014,margarine,2014,2,18,1
1432,18/02/2014,berries,2014,2,18,1
1432,18/02/2014,cat food,2014,2,18,1
1432,18/02/2014,pip fruit,2014,2,18,1
1432,18/02/2014,specialty bar,2014,2,18,1
1526,18/02/2014,domestic eggs,2014,2,18,1
1526,18/02/2014,other vegetables,2014,2,18,1
1924,18/02/2014,white wine,2014,2,18,1
1924,18/02/2014,cream cheese ,2014,2,18,1
2072,18/02/2014,newspapers,2014,2,18,1
2072,18/02/2014,salty snack,2014,2,18,1
2131,18/02/2014,citrus fruit,2014,2,18,1
2131,18/02/2014,soda,2014,2,18,1
2138,18/02/2014,pip fruit,2014,2,18,1
2138,18/02/2014,long life bakery product,2014,2,18,1
2316,18/02/2014,shopping bags,2014,2,18,1
2316,18/02/2014,rice,2014,2,18,1
2452,18/02/2014,frankfurter,2014,2,18,1
2452,18/02/2014,domestic eggs,2014,2,18,1
2627,18/02/2014,beverages,2014,2,18,1
2627,18/02/2014,coffee,2014,2,18,1
2649,18/02/2014,whole milk,2014,2,18,1
2649,18/02/2014,hard cheese,2014,2,18,1
2794,18/02/2014,chicken,2014,2,18,1
2794,18/02/2014,whole milk,2014,2,18,1
2794,18/02/2014,canned beer,2014,2,18,1
3041,18/02/2014,pastry,2014,2,18,1
3041,18/02/2014,shopping bags,2014,2,18,1
3495,18/02/2014,fruit/vegetable juice,2014,2,18,1
3495,18/02/2014,canned vegetables,2014,2,18,1
3587,18/02/2014,misc. beverages,2014,2,18,1
3587,18/02/2014,soda,2014,2,18,1
3849,18/02/2014,berries,2014,2,18,1
3849,18/02/2014,sugar,2014,2,18,1
3849,18/02/2014,female sanitary products,2014,2,18,1
3849,18/02/2014,dessert,2014,2,18,1
4088,18/02/2014,onions,2014,2,18,1
4088,18/02/2014,oil,2014,2,18,1
4136,18/02/2014,sugar,2014,2,18,1
4136,18/02/2014,frozen fish,2014,2,18,1
4264,18/02/2014,newspapers,2014,2,18,1
4264,18/02/2014,soda,2014,2,18,1
4388,18/02/2014,tropical fruit,2014,2,18,1
4388,18/02/2014,UHT-milk,2014,2,18,1
4388,18/02/2014,butter milk,2014,2,18,1
4464,18/02/2014,sausage,2014,2,18,1
4464,18/02/2014,butter,2014,2,18,1
4674,18/02/2014,seasonal products,2014,2,18,1
4674,18/02/2014,other vegetables,2014,2,18,1
4705,18/02/2014,hard cheese,2014,2,18,1
4705,18/02/2014,mayonnaise,2014,2,18,1
4832,18/02/2014,turkey,2014,2,18,1
4832,18/02/2014,white bread,2014,2,18,1
4922,18/02/2014,sausage,2014,2,18,1
4922,18/02/2014,other vegetables,2014,2,18,1
1158,19/02/2014,whole milk,2014,2,19,2
1158,19/02/2014,bottled water,2014,2,19,2
1350,19/02/2014,herbs,2014,2,19,2
1350,19/02/2014,soda,2014,2,19,2
1350,19/02/2014,frozen vegetables,2014,2,19,2
1366,19/02/2014,canned beer,2014,2,19,2
1366,19/02/2014,brown bread,2014,2,19,2
2129,19/02/2014,oil,2014,2,19,2
2129,19/02/2014,bottled water,2014,2,19,2
2245,19/02/2014,fish,2014,2,19,2
2245,19/02/2014,canned beer,2014,2,19,2
2355,19/02/2014,rolls/buns,2014,2,19,2
2355,19/02/2014,domestic eggs,2014,2,19,2
2355,19/02/2014,ice cream,2014,2,19,2
2355,19/02/2014,pot plants,2014,2,19,2
2552,19/02/2014,other vegetables,2014,2,19,2
2552,19/02/2014,chocolate,2014,2,19,2
2900,19/02/2014,chicken,2014,2,19,2
2900,19/02/2014,whole milk,2014,2,19,2
2972,19/02/2014,frankfurter,2014,2,19,2
2972,19/02/2014,margarine,2014,2,19,2
3111,19/02/2014,citrus fruit,2014,2,19,2
3111,19/02/2014,bottled water,2014,2,19,2
3182,19/02/2014,beef,2014,2,19,2
3182,19/02/2014,Instant food products,2014,2,19,2
3320,19/02/2014,whipped/sour cream,2014,2,19,2
3320,19/02/2014,bottled beer,2014,2,19,2
3465,19/02/2014,canned fish,2014,2,19,2
3465,19/02/2014,yogurt,2014,2,19,2
3465,19/02/2014,napkins,2014,2,19,2
3808,19/02/2014,curd,2014,2,19,2
3808,19/02/2014,other vegetables,2014,2,19,2
4009,19/02/2014,frozen vegetables,2014,2,19,2
4009,19/02/2014,cream cheese ,2014,2,19,2
4266,19/02/2014,newspapers,2014,2,19,2
4266,19/02/2014,margarine,2014,2,19,2
4266,19/02/2014,bottled beer,2014,2,19,2
4266,19/02/2014,coffee,2014,2,19,2
4596,19/02/2014,soda,2014,2,19,2
4596,19/02/2014,white wine,2014,2,19,2
4638,19/02/2014,root vegetables,2014,2,19,2
4638,19/02/2014,salty snack,2014,2,19,2
1013,20/02/2014,whole milk,2014,2,20,3
1013,20/02/2014,candy,2014,2,20,3
1100,20/02/2014,hamburger meat,2014,2,20,3
1100,20/02/2014,pasta,2014,2,20,3
1516,20/02/2014,specialty chocolate,2014,2,20,3
1516,20/02/2014,shopping bags,2014,2,20,3
1580,20/02/2014,misc. beverages,2014,2,20,3
1580,20/02/2014,domestic eggs,2014,2,20,3
1593,20/02/2014,canned beer,2014,2,20,3
1593,20/02/2014,onions,2014,2,20,3
2315,20/02/2014,nut snack,2014,2,20,3
2315,20/02/2014,bottled beer,2014,2,20,3
2388,20/02/2014,pork,2014,2,20,3
2388,20/02/2014,berries,2014,2,20,3
2631,20/02/2014,frozen vegetables,2014,2,20,3
2631,20/02/2014,root vegetables,2014,2,20,3
2682,20/02/2014,other vegetables,2014,2,20,3
2682,20/02/2014,other vegetables,2014,2,20,3
2803,20/02/2014,butter milk,2014,2,20,3
2803,20/02/2014,margarine,2014,2,20,3
3574,20/02/2014,UHT-milk,2014,2,20,3
3574,20/02/2014,domestic eggs,2014,2,20,3
3644,20/02/2014,bottled beer,2014,2,20,3
3644,20/02/2014,white wine,2014,2,20,3
3644,20/02/2014,candles,2014,2,20,3
3721,20/02/2014,specialty cheese,2014,2,20,3
3721,20/02/2014,beverages,2014,2,20,3
3722,20/02/2014,sausage,2014,2,20,3
3722,20/02/2014,brown bread,2014,2,20,3
3766,20/02/2014,pork,2014,2,20,3
3766,20/02/2014,nuts/prunes,2014,2,20,3
3766,20/02/2014,rolls/buns,2014,2,20,3
3782,20/02/2014,citrus fruit,2014,2,20,3
3782,20/02/2014,flower (seeds),2014,2,20,3
3782,20/02/2014,domestic eggs,2014,2,20,3
3903,20/02/2014,root vegetables,2014,2,20,3
3903,20/02/2014,seasonal products,2014,2,20,3
3948,20/02/2014,waffles,2014,2,20,3
3948,20/02/2014,shopping bags,2014,2,20,3
3948,20/02/2014,sparkling wine,2014,2,20,3
3967,20/02/2014,other vegetables,2014,2,20,3
3967,20/02/2014,whipped/sour cream,2014,2,20,3
4140,20/02/2014,hygiene articles,2014,2,20,3
4140,20/02/2014,whole milk,2014,2,20,3
4368,20/02/2014,salty snack,2014,2,20,3
4368,20/02/2014,whole milk,2014,2,20,3
4418,20/02/2014,nuts/prunes,2014,2,20,3
4418,20/02/2014,long life bakery product,2014,2,20,3
4915,20/02/2014,sausage,2014,2,20,3
4915,20/02/2014,onions,2014,2,20,3
1017,21/02/2014,other vegetables,2014,2,21,4
1017,21/02/2014,root vegetables,2014,2,21,4
1146,21/02/2014,frozen vegetables,2014,2,21,4
1146,21/02/2014,pip fruit,2014,2,21,4
1146,21/02/2014,root vegetables,2014,2,21,4
1146,21/02/2014,cereals,2014,2,21,4
1677,21/02/2014,hamburger meat,2014,2,21,4
1677,21/02/2014,rolls/buns,2014,2,21,4
1740,21/02/2014,root vegetables,2014,2,21,4
1740,21/02/2014,soda,2014,2,21,4
1740,21/02/2014,dessert,2014,2,21,4
2141,21/02/2014,yogurt,2014,2,21,4
2141,21/02/2014,yogurt,2014,2,21,4
2483,21/02/2014,herbs,2014,2,21,4
2483,21/02/2014,canned beer,2014,2,21,4
2694,21/02/2014,pip fruit,2014,2,21,4
2694,21/02/2014,hard cheese,2014,2,21,4
2786,21/02/2014,semi-finished bread,2014,2,21,4
2786,21/02/2014,brown bread,2014,2,21,4
2786,21/02/2014,soda,2014,2,21,4
3035,21/02/2014,misc. beverages,2014,2,21,4
3035,21/02/2014,curd,2014,2,21,4
3087,21/02/2014,citrus fruit,2014,2,21,4
3087,21/02/2014,yogurt,2014,2,21,4
3185,21/02/2014,newspapers,2014,2,21,4
3185,21/02/2014,newspapers,2014,2,21,4
3343,21/02/2014,butter milk,2014,2,21,4
3343,21/02/2014,shopping bags,2014,2,21,4
3356,21/02/2014,soda,2014,2,21,4
3356,21/02/2014,frozen vegetables,2014,2,21,4
3452,21/02/2014,meat,2014,2,21,4
3452,21/02/2014,white bread,2014,2,21,4
3541,21/02/2014,chicken,2014,2,21,4
3541,21/02/2014,pickled vegetables,2014,2,21,4
3776,21/02/2014,shopping bags,2014,2,21,4
3776,21/02/2014,white wine,2014,2,21,4
4018,21/02/2014,newspapers,2014,2,21,4
4018,21/02/2014,newspapers,2014,2,21,4
4448,21/02/2014,other vegetables,2014,2,21,4
4448,21/02/2014,fruit/vegetable juice,2014,2,21,4
4676,21/02/2014,margarine,2014,2,21,4
4676,21/02/2014,rolls/buns,2014,2,21,4
4870,21/02/2014,hamburger meat,2014,2,21,4
4870,21/02/2014,bottled beer,2014,2,21,4
4874,21/02/2014,beef,2014,2,21,4
4874,21/02/2014,bottled water,2014,2,21,4
4874,21/02/2014,bottled water,2014,2,21,4
1022,22/02/2014,beef,2014,2,22,5
1022,22/02/2014,napkins,2014,2,22,5
1237,22/02/2014,cleaner,2014,2,22,5
1237,22/02/2014,misc. beverages,2014,2,22,5
1329,22/02/2014,dessert,2014,2,22,5
1329,22/02/2014,newspapers,2014,2,22,5
1329,22/02/2014,domestic eggs,2014,2,22,5
1384,22/02/2014,soda,2014,2,22,5
1384,22/02/2014,misc. beverages,2014,2,22,5
1499,22/02/2014,spread cheese,2014,2,22,5
1499,22/02/2014,soda,2014,2,22,5
1548,22/02/2014,condensed milk,2014,2,22,5
1548,22/02/2014,pastry,2014,2,22,5
1647,22/02/2014,other vegetables,2014,2,22,5
1647,22/02/2014,whipped/sour cream,2014,2,22,5
1647,22/02/2014,salty snack,2014,2,22,5
1724,22/02/2014,fruit/vegetable juice,2014,2,22,5
1724,22/02/2014,other vegetables,2014,2,22,5
1867,22/02/2014,butter,2014,2,22,5
1867,22/02/2014,sweet spreads,2014,2,22,5
1867,22/02/2014,sliced cheese,2014,2,22,5
1970,22/02/2014,soda,2014,2,22,5
1970,22/02/2014,curd,2014,2,22,5
1978,22/02/2014,yogurt,2014,2,22,5
1978,22/02/2014,cookware,2014,2,22,5
1998,22/02/2014,whipped/sour cream,2014,2,22,5
1998,22/02/2014,waffles,2014,2,22,5
2144,22/02/2014,beef,2014,2,22,5
2144,22/02/2014,pasta,2014,2,22,5
2222,22/02/2014,cling film/bags,2014,2,22,5
2222,22/02/2014,canned vegetables,2014,2,22,5
2274,22/02/2014,pork,2014,2,22,5
2274,22/02/2014,pastry,2014,2,22,5
2274,22/02/2014,rolls/buns,2014,2,22,5
2344,22/02/2014,rolls/buns,2014,2,22,5
2344,22/02/2014,napkins,2014,2,22,5
2344,22/02/2014,newspapers,2014,2,22,5
2617,22/02/2014,other vegetables,2014,2,22,5
2617,22/02/2014,yogurt,2014,2,22,5
3076,22/02/2014,specialty chocolate,2014,2,22,5
3076,22/02/2014,soda,2014,2,22,5
3410,22/02/2014,packaged fruit/vegetables,2014,2,22,5
3410,22/02/2014,pastry,2014,2,22,5
3607,22/02/2014,sliced cheese,2014,2,22,5
3607,22/02/2014,margarine,2014,2,22,5
3680,22/02/2014,shopping bags,2014,2,22,5
3680,22/02/2014,fruit/vegetable juice,2014,2,22,5
3926,22/02/2014,salty snack,2014,2,22,5
3926,22/02/2014,red/blush wine,2014,2,22,5
4135,22/02/2014,other vegetables,2014,2,22,5
4135,22/02/2014,spices,2014,2,22,5
4192,22/02/2014,butter,2014,2,22,5
4192,22/02/2014,seasonal products,2014,2,22,5
4268,22/02/2014,frankfurter,2014,2,22,5
4268,22/02/2014,butter milk,2014,2,22,5
4627,22/02/2014,soft cheese,2014,2,22,5
4627,22/02/2014,specialty chocolate,2014,2,22,5
4770,22/02/2014,butter,2014,2,22,5
4770,22/02/2014,fruit/vegetable juice,2014,2,22,5
4823,22/02/2014,whole milk,2014,2,22,5
4823,22/02/2014,candy,2014,2,22,5
4860,22/02/2014,rolls/buns,2014,2,22,5
4860,22/02/2014,rolls/buns,2014,2,22,5
4860,22/02/2014,specialty bar,2014,2,22,5
1189,23/02/2014,tropical fruit,2014,2,23,6
1189,23/02/2014,dessert,2014,2,23,6
1299,23/02/2014,rolls/buns,2014,2,23,6
1299,23/02/2014,yogurt,2014,2,23,6
1785,23/02/2014,other vegetables,2014,2,23,6
1785,23/02/2014,organic sausage,2014,2,23,6
1785,23/02/2014,cling film/bags,2014,2,23,6
2022,23/02/2014,cat food,2014,2,23,6
2022,23/02/2014,yogurt,2014,2,23,6
2022,23/02/2014,candy,2014,2,23,6
2141,23/02/2014,yogurt,2014,2,23,6
2141,23/02/2014,potato products,2014,2,23,6
2537,23/02/2014,UHT-milk,2014,2,23,6
2537,23/02/2014,bottled beer,2014,2,23,6
2753,23/02/2014,bottled beer,2014,2,23,6
2753,23/02/2014,bottled water,2014,2,23,6
2753,23/02/2014,whipped/sour cream,2014,2,23,6
2753,23/02/2014,sugar,2014,2,23,6
2922,23/02/2014,soda,2014,2,23,6
2922,23/02/2014,photo/film,2014,2,23,6
3065,23/02/2014,yogurt,2014,2,23,6
3065,23/02/2014,yogurt,2014,2,23,6
3125,23/02/2014,pip fruit,2014,2,23,6
3125,23/02/2014,newspapers,2014,2,23,6
3137,23/02/2014,root vegetables,2014,2,23,6
3137,23/02/2014,sugar,2014,2,23,6
3380,23/02/2014,yogurt,2014,2,23,6
3380,23/02/2014,soda,2014,2,23,6
3380,23/02/2014,frozen fish,2014,2,23,6
3540,23/02/2014,salt,2014,2,23,6
3540,23/02/2014,cream cheese ,2014,2,23,6
3564,23/02/2014,brown bread,2014,2,23,6
3564,23/02/2014,frozen vegetables,2014,2,23,6
3668,23/02/2014,pip fruit,2014,2,23,6
3668,23/02/2014,bottled beer,2014,2,23,6
3920,23/02/2014,pastry,2014,2,23,6
3920,23/02/2014,brown bread,2014,2,23,6
4194,23/02/2014,root vegetables,2014,2,23,6
4194,23/02/2014,bottled beer,2014,2,23,6
4931,23/02/2014,soda,2014,2,23,6
4931,23/02/2014,coffee,2014,2,23,6
4931,23/02/2014,salty snack,2014,2,23,6
1034,24/02/2014,pip fruit,2014,2,24,0
1034,24/02/2014,cling film/bags,2014,2,24,0
1034,24/02/2014,yogurt,2014,2,24,0
1034,24/02/2014,cat food,2014,2,24,0
1037,24/02/2014,tropical fruit,2014,2,24,0
1037,24/02/2014,white bread,2014,2,24,0
1037,24/02/2014,rolls/buns,2014,2,24,0
1296,24/02/2014,pickled vegetables,2014,2,24,0
1296,24/02/2014,UHT-milk,2014,2,24,0
1296,24/02/2014,long life bakery product,2014,2,24,0
1580,24/02/2014,tropical fruit,2014,2,24,0
1580,24/02/2014,mustard,2014,2,24,0
1580,24/02/2014,sliced cheese,2014,2,24,0
1663,24/02/2014,yogurt,2014,2,24,0
1663,24/02/2014,soft cheese,2014,2,24,0
1663,24/02/2014,herbs,2014,2,24,0
1663,24/02/2014,rolls/buns,2014,2,24,0
1687,24/02/2014,sausage,2014,2,24,0
1687,24/02/2014,curd,2014,2,24,0
1820,24/02/2014,meat,2014,2,24,0
1820,24/02/2014,salt,2014,2,24,0
2048,24/02/2014,semi-finished bread,2014,2,24,0
2048,24/02/2014,pip fruit,2014,2,24,0
2107,24/02/2014,other vegetables,2014,2,24,0
2107,24/02/2014,salty snack,2014,2,24,0
2170,24/02/2014,fish,2014,2,24,0
2170,24/02/2014,root vegetables,2014,2,24,0
2394,24/02/2014,whipped/sour cream,2014,2,24,0
2394,24/02/2014,coffee,2014,2,24,0
2442,24/02/2014,other vegetables,2014,2,24,0
2442,24/02/2014,cream cheese ,2014,2,24,0
2495,24/02/2014,other vegetables,2014,2,24,0
2495,24/02/2014,red/blush wine,2014,2,24,0
2511,24/02/2014,whole milk,2014,2,24,0
2511,24/02/2014,other vegetables,2014,2,24,0
2706,24/02/2014,citrus fruit,2014,2,24,0
2706,24/02/2014,whipped/sour cream,2014,2,24,0
2706,24/02/2014,liquor,2014,2,24,0
3089,24/02/2014,pork,2014,2,24,0
3089,24/02/2014,rolls/buns,2014,2,24,0
3180,24/02/2014,citrus fruit,2014,2,24,0
3180,24/02/2014,domestic eggs,2014,2,24,0
3552,24/02/2014,butter,2014,2,24,0
3552,24/02/2014,long life bakery product,2014,2,24,0
3691,24/02/2014,berries,2014,2,24,0
3691,24/02/2014,bottled beer,2014,2,24,0
3780,24/02/2014,rolls/buns,2014,2,24,0
3780,24/02/2014,domestic eggs,2014,2,24,0
3828,24/02/2014,citrus fruit,2014,2,24,0
3828,24/02/2014,soda,2014,2,24,0
4274,24/02/2014,beef,2014,2,24,0
4274,24/02/2014,rolls/buns,2014,2,24,0
4401,24/02/2014,bottled beer,2014,2,24,0
4401,24/02/2014,ice cream,2014,2,24,0
4663,24/02/2014,fruit/vegetable juice,2014,2,24,0
4663,24/02/2014,flower (seeds),2014,2,24,0
4779,24/02/2014,root vegetables,2014,2,24,0
4779,24/02/2014,condensed milk,2014,2,24,0
4779,24/02/2014,dessert,2014,2,24,0
4941,24/02/2014,white wine,2014,2,24,0
4941,24/02/2014,soda,2014,2,24,0
4992,24/02/2014,margarine,2014,2,24,0
4992,24/02/2014,margarine,2014,2,24,0
1098,25/02/2014,citrus fruit,2014,2,25,1
1098,25/02/2014,dessert,2014,2,25,1
1715,25/02/2014,spread cheese,2014,2,25,1
1715,25/02/2014,specialty chocolate,2014,2,25,1
1868,25/02/2014,other vegetables,2014,2,25,1
1868,25/02/2014,newspapers,2014,2,25,1
1913,25/02/2014,cat food,2014,2,25,1
1913,25/02/2014,semi-finished bread,2014,2,25,1
1917,25/02/2014,frankfurter,2014,2,25,1
1917,25/02/2014,red/blush wine,2014,2,25,1
2079,25/02/2014,sliced cheese,2014,2,25,1
2079,25/02/2014,beverages,2014,2,25,1
2079,25/02/2014,other vegetables,2014,2,25,1
2079,25/02/2014,napkins,2014,2,25,1
2312,25/02/2014,other vegetables,2014,2,25,1
2312,25/02/2014,canned beer,2014,2,25,1
2337,25/02/2014,root vegetables,2014,2,25,1
2337,25/02/2014,coffee,2014,2,25,1
2432,25/02/2014,brandy,2014,2,25,1
2432,25/02/2014,domestic eggs,2014,2,25,1
2437,25/02/2014,bottled water,2014,2,25,1
2437,25/02/2014,soda,2014,2,25,1
2437,25/02/2014,nut snack,2014,2,25,1
2478,25/02/2014,napkins,2014,2,25,1
2478,25/02/2014,photo/film,2014,2,25,1
2478,25/02/2014,dessert,2014,2,25,1
2570,25/02/2014,other vegetables,2014,2,25,1
2570,25/02/2014,roll products ,2014,2,25,1
3127,25/02/2014,hamburger meat,2014,2,25,1
3127,25/02/2014,root vegetables,2014,2,25,1
3127,25/02/2014,bottled beer,2014,2,25,1
3271,25/02/2014,specialty fat,2014,2,25,1
3271,25/02/2014,other vegetables,2014,2,25,1
3271,25/02/2014,white wine,2014,2,25,1
3372,25/02/2014,pork,2014,2,25,1
3372,25/02/2014,canned beer,2014,2,25,1
3393,25/02/2014,whole milk,2014,2,25,1
3393,25/02/2014,canned vegetables,2014,2,25,1
4033,25/02/2014,whipped/sour cream,2014,2,25,1
4033,25/02/2014,white bread,2014,2,25,1
4416,25/02/2014,other vegetables,2014,2,25,1
4416,25/02/2014,other vegetables,2014,2,25,1
4423,25/02/2014,pip fruit,2014,2,25,1
4423,25/02/2014,brown bread,2014,2,25,1
4561,25/02/2014,rolls/buns,2014,2,25,1
4561,25/02/2014,oil,2014,2,25,1
4561,25/02/2014,fruit/vegetable juice,2014,2,25,1
4631,25/02/2014,pip fruit,2014,2,25,1
4631,25/02/2014,soda,2014,2,25,1
1087,26/02/2014,sausage,2014,2,26,2
1087,26/02/2014,beverages,2014,2,26,2
1422,26/02/2014,beef,2014,2,26,2
1422,26/02/2014,rolls/buns,2014,2,26,2
1423,26/02/2014,citrus fruit,2014,2,26,2
1423,26/02/2014,shopping bags,2014,2,26,2
1423,26/02/2014,shopping bags,2014,2,26,2
1514,26/02/2014,bottled water,2014,2,26,2
1514,26/02/2014,shopping bags,2014,2,26,2
1684,26/02/2014,canned beer,2014,2,26,2
1684,26/02/2014,white bread,2014,2,26,2
1702,26/02/2014,other vegetables,2014,2,26,2
1702,26/02/2014,waffles,2014,2,26,2
1753,26/02/2014,berries,2014,2,26,2
1753,26/02/2014,canned fish,2014,2,26,2
1761,26/02/2014,whole milk,2014,2,26,2
1761,26/02/2014,dish cleaner,2014,2,26,2
1761,26/02/2014,frozen fish,2014,2,26,2
1761,26/02/2014,newspapers,2014,2,26,2
1829,26/02/2014,brown bread,2014,2,26,2
1829,26/02/2014,rolls/buns,2014,2,26,2
1910,26/02/2014,margarine,2014,2,26,2
1910,26/02/2014,chocolate,2014,2,26,2
2027,26/02/2014,frozen meals,2014,2,26,2
2027,26/02/2014,domestic eggs,2014,2,26,2
2027,26/02/2014,domestic eggs,2014,2,26,2
2306,26/02/2014,tropical fruit,2014,2,26,2
2306,26/02/2014,shopping bags,2014,2,26,2
2451,26/02/2014,pip fruit,2014,2,26,2
2451,26/02/2014,hard cheese,2014,2,26,2
2451,26/02/2014,bottled water,2014,2,26,2
2517,26/02/2014,whipped/sour cream,2014,2,26,2
2517,26/02/2014,soft cheese,2014,2,26,2
2732,26/02/2014,salty snack,2014,2,26,2
2732,26/02/2014,dessert,2014,2,26,2
2743,26/02/2014,tropical fruit,2014,2,26,2
2743,26/02/2014,frozen potato products,2014,2,26,2
2957,26/02/2014,fruit/vegetable juice,2014,2,26,2
2957,26/02/2014,seasonal products,2014,2,26,2
3081,26/02/2014,sliced cheese,2014,2,26,2
3081,26/02/2014,dessert,2014,2,26,2
3081,26/02/2014,shopping bags,2014,2,26,2
3103,26/02/2014,misc. beverages,2014,2,26,2
3103,26/02/2014,other vegetables,2014,2,26,2
3215,26/02/2014,rolls/buns,2014,2,26,2
3215,26/02/2014,bottled water,2014,2,26,2
3226,26/02/2014,ham,2014,2,26,2
3226,26/02/2014,yogurt,2014,2,26,2
3294,26/02/2014,pastry,2014,2,26,2
3294,26/02/2014,whipped/sour cream,2014,2,26,2
3294,26/02/2014,pickled vegetables,2014,2,26,2
3403,26/02/2014,canned beer,2014,2,26,2
3403,26/02/2014,brown bread,2014,2,26,2
3529,26/02/2014,pastry,2014,2,26,2
3529,26/02/2014,bottled water,2014,2,26,2
3777,26/02/2014,waffles,2014,2,26,2
3777,26/02/2014,whole milk,2014,2,26,2
3821,26/02/2014,turkey,2014,2,26,2
3821,26/02/2014,condensed milk,2014,2,26,2
3821,26/02/2014,yogurt,2014,2,26,2
3979,26/02/2014,canned fish,2014,2,26,2
3979,26/02/2014,ice cream,2014,2,26,2
4299,26/02/2014,citrus fruit,2014,2,26,2
4299,26/02/2014,cake bar,2014,2,26,2
4738,26/02/2014,sausage,2014,2,26,2
4738,26/02/2014,grapes,2014,2,26,2
4910,26/02/2014,frozen meals,2014,2,26,2
